      T1    T2   T3    T4    T5    T6    T7    T8    T9    T10    T11    T12    T13    T14    T15    T16    T17    T18    T19     official_test    initial_multi    train_runtime    train_epoch    train_samples
---  ----  ----  ----  ----  ----  ----  ----  ----  ----  -----  -----  -----  -----  -----  -----  -----  -----  -----  -----  ---------------  ---------------  ---------------  -------------  ---------------
T1    46    32   -     -     -     -     -     -     -     -      -      -      -      -      -      -      -      -      -          24.3361           32.68           41.9797            4              100
T2    46    18   0.0   -     -     -     -     -     -     -      -      -      -      -      -      -      -      -      -          23.8319           32.2            60.7142            6              100
T3    46    22   0.0   8.0   -     -     -     -     -     -      -      -      -      -      -      -      -      -      -          24.1008           32.6            42.8597            5              100
T4    44    22   0.0   0.0   0.0   -     -     -     -     -      -      -      -      -      -      -      -      -      -          23.0588           30.72           86.4719           10              100
T5    46    18   0.0   0.0   0.0   0.0   -     -     -     -      -      -      -      -      -      -      -      -      -          21.2101           29.2            62.3711            4              100
T6    46    30   0.0   0.0   0.0   0.0   0.0   -     -     -      -      -      -      -      -      -      -      -      -          16.5378           26.52           162.961           15              58
T7    46    16   0.0   0.0   0.0   0.0   22.0  4.0   -     -      -      -      -      -      -      -      -      -      -          17.4118           26.36           80.4976            6              100
T8    46    14   0.0   0.0   0.0   0.0   24.0  48.0  4.0   -      -      -      -      -      -      -      -      -      -          20.8739           28.72           49.6025            4              100
T9    38    26   0.0   4.0   0.0   0.0   24.0  48.0  76.0  0.0    -      -      -      -      -      -      -      -      -          11.0588           20.76           161.896           15              100
T10   48    26   0.0   0.0   0.0   0.0   24.0  48.0  74.0  0.0    0.0    -      -      -      -      -      -      -      -          13.8487           23.16           37.1584            4              100
T11   50    28   0.0   0.0   0.0   0.0   26.0  48.0  68.0  0.0    30.0   0.0    -      -      -      -      -      -      -          21.5126           28.72           85.2022            7              100
T12   50    34   0.0   0.0   0.0   0.0   18.0  48.0  70.0  0.0    26.0   0.0    0.0    -      -      -      -      -      -          20.437            26.4            43.766             5              78
T13   52    32   0.0   0.0   0.0   0.0   8.0   20.0  46.0  0.0    30.0   0.0    0.0    38.0   -      -      -      -      -          18.1176           25.32           76.7266            7              100
T14   46    32   0.0   8.0   0.0   0.0   10.0  24.0  40.0  0.0    16.0   0.0    0.0    62.0   0.0    -      -      -      -          21.2437           28.84           50.1897            5              100
T15   46    28   0.0   8.0   0.0   0.0   10.0  48.0  40.0  0.0    16.0   0.0    0.0    62.0   2.0    0.0    -      -      -          19.9664           28.76           59.5834            7              82
T16   46    34   0.0   8.0   0.0   0.0   10.0  48.0  40.0  0.0    18.0   0.0    0.0    60.0   2.0    0.0    0.0    -      -          22.1513           29.32           44.6546            4              100
T17   46    32   0.0   4.0   0.0   0.0   10.0  6.0   52.0  0.0    28.0   0.0    0.0    62.0   0.0    0.0    0.0    24.0   -          22.2857           29.16           95.8337           10              100
T18   46    32   0.0   2.0   0.0   0.0   8.0   6.0   58.0  0.0    20.0   0.0    0.0    40.0   0.0    0.0    0.0    76.0   4.0        21.8824           27.4            34.3945            4              100
T19   46    30   0.0   4.0   0.0   0.0   10.0  34.0  48.0  0.0    32.0   0.0    0.0    40.0   0.0    0.0    0.0    76.0   100.0      21.8487           28.2            88.3195            9              100
