      T1    T2   T3    T4    T5    T6    T7    T8    T9    T10    T11    T12    T13    T14    T15    T16    T17    T18    T19    T20    T21    T22    T23    T24    T25    T26    T27    T28    T29    T30    T31    T32    T33    T34    T35    T36    T37    T38     official_test    initial_multi    train_runtime    train_epoch    train_samples
T26   0     24   0.0   24.0  0.0   4.0   0.0   28.0  32.0  60.0   20.0   28.0   8.0    0.0    0.0    56.0   52.0   32.0   0.0    36.0   100.0  0.0    0.0    0.0    0.0    0.0    0.0    -      -      -      -      -      -      -      -      -      -      -             0                0             86.6792            6              100
T27   0     24   0.0   24.0  0.0   4.0   0.0   28.0  32.0  60.0   16.0   28.0   8.0    0.0    0.0    56.0   32.0   32.0   0.0    36.0   100.0  0.0    0.0    0.0    0.0    0.0    0.0    32.0   -      -      -      -      -      -      -      -      -      -             0                0             122.392            4              100
T28   0     24   0.0   24.0  0.0   4.0   0.0   32.0  32.0  60.0   20.0   28.0   8.0    0.0    0.0    56.0   80.0   36.0   0.0    36.0   100.0  0.0    0.0    0.0    0.0    0.0    0.0    36.0   0.0    -      -      -      -      -      -      -      -      -             0                0             42.4819            4              100
T29   0     24   0.0   24.0  0.0   4.0   0.0   32.0  32.0  60.0   20.0   28.0   8.0    0.0    0.0    56.0   80.0   36.0   0.0    36.0   100.0  0.0    0.0    0.0    0.0    0.0    0.0    36.0   0.0    0.0    -      -      -      -      -      -      -      -             0                0             72.4683            4              100
T30   0     20   0.0   24.0  0.0   4.0   0.0   32.0  32.0  60.0   20.0   28.0   8.0    0.0    0.0    60.0   80.0   28.0   4.0    28.0   100.0  0.0    0.0    0.0    0.0    0.0    0.0    36.0   0.0    0.0    4.0    -      -      -      -      -      -      -             0                0             532.417           10              100
T31   0     20   0.0   24.0  0.0   4.0   0.0   32.0  32.0  60.0   20.0   28.0   8.0    0.0    0.0    56.0   80.0   32.0   4.0    28.0   100.0  0.0    0.0    0.0    0.0    0.0    0.0    36.0   0.0    0.0    4.0    56.0   -      -      -      -      -      -             0                0             114.93             4              100
T32   0     20   0.0   24.0  0.0   4.0   0.0   32.0  32.0  60.0   20.0   28.0   8.0    0.0    0.0    56.0   80.0   36.0   8.0    24.0   100.0  0.0    0.0    0.0    0.0    0.0    0.0    36.0   0.0    0.0    4.0    64.0   0.0    -      -      -      -      -             0                0             76.0536            5              100
T33   0     20   0.0   24.0  0.0   4.0   0.0   32.0  32.0  60.0   16.0   28.0   8.0    0.0    0.0    56.0   80.0   36.0   0.0    28.0   100.0  0.0    0.0    0.0    0.0    0.0    0.0    36.0   0.0    0.0    4.0    64.0   8.0    0.0    -      -      -      -             0                0             150.243           11              100
T34   0     16   0.0   24.0  0.0   4.0   0.0   32.0  32.0  60.0   16.0   28.0   8.0    0.0    0.0    52.0   80.0   36.0   0.0    32.0   100.0  0.0    0.0    0.0    0.0    0.0    0.0    36.0   0.0    0.0    4.0    64.0   8.0    0.0    0.0    -      -      -             0                0             253.316           13              100
T35   0     16   0.0   24.0  0.0   4.0   0.0   32.0  32.0  60.0   16.0   28.0   8.0    0.0    0.0    56.0   80.0   36.0   0.0    32.0   100.0  0.0    0.0    0.0    0.0    0.0    0.0    36.0   0.0    0.0    4.0    60.0   8.0    0.0    0.0    4.0    -      -             0                0             94.4692            4              100
T36   0     16   0.0   24.0  0.0   4.0   0.0   36.0  32.0  60.0   20.0   28.0   8.0    0.0    0.0    52.0   80.0   36.0   4.0    32.0   100.0  0.0    0.0    0.0    0.0    0.0    0.0    36.0   0.0    0.0    4.0    64.0   8.0    0.0    0.0    52.0   64.0   -             0                0             98.114             6              100
T37   0     16   0.0   24.0  0.0   4.0   0.0   36.0  32.0  60.0   20.0   28.0   8.0    0.0    0.0    64.0   80.0   36.0   8.0    28.0   100.0  0.0    0.0    0.0    0.0    0.0    0.0    36.0   0.0    0.0    4.0    60.0   8.0    0.0    0.0    52.0   64.0   16.0          0                0             73.718             7              100
T38   0     24   0.0   24.0  0.0   12.0  0.0   36.0  32.0  60.0   16.0   28.0   8.0    0.0    0.0    60.0   80.0   36.0   8.0    36.0   100.0  0.0    0.0    0.0    0.0    0.0    0.0    36.0   0.0    0.0    4.0    60.0   4.0    0.0    0.0    52.0   68.0   40.0       24.1345           30.96           88.5795            6              100
