      T1    T2   T3    T4    T5    T6    T7    T8    T9    T10    T11    T12    T13    T14    T15    T16    T17    T18    T19    T20    T21    T22    T23    T24    T25    T26    T27    T28    T29    T30    T31    T32    T33    T34    T35    T36    T37    T38     official_test    initial_multi    train_runtime    train_epoch    train_samples
T26   0     8    0.0   12.0  0.0   56.0  0.0   64.0  92.0  84.0   80.0   28.0   12.0   0.0    0.0    72.0   56.0   32.0   0.0    48.0   100.0  0.0    0.0    0.0    24.0   8.0    0.0    -      -      -      -      -      -      -      -      -      -      -             0                0             576.385           15             1350
T27   0     8    0.0   8.0   0.0   44.0  0.0   64.0  92.0  76.0   80.0   36.0   16.0   0.0    0.0    68.0   76.0   32.0   0.0    44.0   100.0  0.0    0.0    0.0    12.0   4.0    0.0    36.0   -      -      -      -      -      -      -      -      -      -             0                0             335.96             8             1360
T28   0     8    0.0   8.0   0.0   48.0  0.0   64.0  84.0  76.0   80.0   36.0   16.0   0.0    0.0    76.0   72.0   36.0   0.0    52.0   100.0  0.0    0.0    0.0    20.0   8.0    0.0    48.0   0.0    -      -      -      -      -      -      -      -      -             0                0             149.997            4             1370
T29   0     8    0.0   8.0   0.0   44.0  0.0   64.0  88.0  80.0   80.0   20.0   16.0   0.0    0.0    80.0   72.0   24.0   0.0    52.0   100.0  0.0    0.0    0.0    16.0   8.0    0.0    40.0   0.0    0.0    -      -      -      -      -      -      -      -             0                0             227.832            6             1380
T30   0     8    0.0   8.0   0.0   68.0  0.0   64.0  84.0  76.0   80.0   28.0   8.0    0.0    0.0    68.0   60.0   16.0   0.0    52.0   100.0  0.0    0.0    0.0    16.0   4.0    0.0    48.0   0.0    0.0    0.0    -      -      -      -      -      -      -             0                0             342.053            9             1390
T31   0     0    0.0   16.0  0.0   52.0  0.0   64.0  92.0  80.0   80.0   28.0   12.0   0.0    0.0    72.0   80.0   44.0   0.0    48.0   84.0   0.0    0.0    0.0    16.0   4.0    0.0    44.0   0.0    0.0    36.0   36.0   -      -      -      -      -      -             0                0             589.997           15             1400
T32   0     4    0.0   12.0  0.0   56.0  0.0   64.0  88.0  80.0   80.0   36.0   12.0   0.0    0.0    72.0   68.0   36.0   0.0    56.0   64.0   0.0    0.0    0.0    16.0   4.0    0.0    56.0   0.0    0.0    28.0   52.0   0.0    -      -      -      -      -             0                0             163.356            4             1410
T33   0     8    0.0   8.0   0.0   56.0  0.0   64.0  88.0  80.0   80.0   32.0   16.0   0.0    0.0    68.0   60.0   20.0   0.0    52.0   100.0  0.0    0.0    0.0    20.0   0.0    0.0    48.0   0.0    0.0    24.0   68.0   8.0    0.0    -      -      -      -             0                0             288.027            7             1420
T34   0     8    0.0   8.0   0.0   56.0  0.0   64.0  88.0  80.0   80.0   28.0   8.0    0.0    0.0    76.0   60.0   32.0   0.0    48.0   100.0  0.0    0.0    0.0    16.0   4.0    0.0    60.0   0.0    0.0    20.0   64.0   0.0    0.0    0.0    -      -      -             0                0             331.857            8             1430
T35   0     8    0.0   8.0   0.0   56.0  0.0   64.0  88.0  84.0   80.0   28.0   12.0   0.0    0.0    72.0   52.0   28.0   0.0    56.0   100.0  0.0    0.0    0.0    20.0   0.0    0.0    60.0   0.0    0.0    24.0   68.0   0.0    0.0    0.0    40.0   -      -             0                0             240.339            6             1440
T36   0     8    0.0   8.0   0.0   56.0  0.0   64.0  88.0  80.0   80.0   28.0   8.0    0.0    0.0    68.0   52.0   28.0   0.0    56.0   88.0   0.0    0.0    0.0    16.0   0.0    0.0    52.0   0.0    0.0    24.0   64.0   0.0    0.0    0.0    52.0   36.0   -             0                0             169.34             4             1450
T37   0     4    0.0   12.0  0.0   60.0  0.0   64.0  84.0  80.0   80.0   32.0   12.0   0.0    0.0    76.0   44.0   28.0   0.0    48.0   92.0   0.0    0.0    0.0    24.0   0.0    0.0    52.0   0.0    0.0    20.0   64.0   0.0    0.0    0.0    36.0   44.0   20.0          0                0             164.25             4             1460
T38   0     4    0.0   8.0   0.0   52.0  0.0   64.0  88.0  76.0   76.0   32.0   12.0   0.0    0.0    68.0   40.0   36.0   0.0    48.0   100.0  0.0    0.0    0.0    16.0   0.0    0.0    52.0   0.0    0.0    24.0   72.0   4.0    0.0    0.0    20.0   48.0   100.0      19.6639           33.56           206.27             5             1470
